20/04/2022	11:11:02
sampling frequency [Hz]: 	1000	Samples: 	2000
dt (sec): 	0.001	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	332.334419		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	14.843843
U dispersion: 	1.034856
Turbulence: 	6.971615

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.661133	2.685044	14.138453	0	208.007812	25.097656	-31.620254
2.695312	2.719531	15.030033	0	208.007812	25.097656	-24.238548
2.631836	2.655484	13.389706	0	208.007812	25.097656	-22.217429
2.700195	2.724457	15.158836	0	208.007812	25.097656	-21.448826
2.651367	2.67519	13.887185	0	208.007812	25.097656	-24.828116
2.680664	2.70475	14.645712	0	208.007812	25.097656	-29.584518
2.658691	2.68258	14.075484	0	208.007812	25.097656	-33.336671
2.724609	2.749091	15.80772	0	208.007812	25.097656	-24.710128
2.712402	2.736774	15.482292	0	208.007812	25.097656	-26.79538
2.63916	2.663245	13.584818	0	208.007812	25.146484	-28.479385
2.722168	2.747011	15.752633	0	208.007812	25.146484	-27.30444
2.702637	2.726921	15.223364	0	208.007812	25.097656	-33.274496
2.685547	2.710055	14.783288	0	208.007812	25.146484	-31.249698
2.746582	2.771648	16.408452	0	208.007812	25.146484	-28.911231
2.705078	2.729384	15.287974	0	208.007812	25.097656	-35.142448
2.700195	2.724457	15.158836	0	208.007812	25.097656	-34.956947
2.614746	2.63824	12.960292	0	208.007812	25.097656	-26.199711
2.685547	2.710055	14.783288	0	208.007812	25.146484	-26.723579
2.636719	2.66041	13.513423	0	208.007812	25.097656	-28.700493
2.648926	2.672727	13.824626	0	208.007812	25.097656	-30.907015
2.675781	2.699824	14.518327	0	208.007812	25.097656	-38.285041
2.685547	2.709677	14.773463	0	208.007812	25.097656	-36.164414
2.653809	2.677654	13.949849	0	208.007812	25.097656	-31.101611
2.700195	2.724457	15.158836	0	208.007812	25.097656	-25.294132
2.724609	2.749091	15.80772	0	208.007812	25.097656	-24.801644
2.702637	2.727301	15.233344	0	208.007812	25.146484	-26.67014
2.722168	2.746627	15.742482	0	208.007812	25.097656	-30.770621
2.648926	2.672727	13.824626	0	208.007812	25.097656	-31.720489
2.692871	2.717447	14.975652	0	208.007812	25.146484	-31.375871
2.65625	2.680491	14.022159	0	208.007812	25.146484	-36.090118
2.685547	2.709677	14.773463	0	208.007812	25.097656	-25.771506
2.695312	2.71991	15.039948	0	208.007812	25.146484	-24.720917
2.687988	2.712141	14.837474	0	208.007812	25.097656	-30.266122
2.609863	2.633681	12.847724	0	208.007812	25.146484	-27.953946
2.683105	2.707214	14.709542	0	208.007812	25.097656	-24.991737
2.719727	2.744164	15.67732	0	208.007812	25.097656	-26.059972
2.683105	2.707592	14.719344	0	208.007812	25.146484	-25.999904
2.658691	2.68258	14.075484	0	208.007812	25.097656	-28.621111
2.67334	2.697737	14.464485	0	208.007812	25.146484	-41.09329
2.739258	2.764257	16.210971	0	208.007812	25.146484	-27.342924
2.63916	2.662874	13.575447	0	208.007812	25.097656	-27.025231
2.697754	2.722374	15.104329	0	208.007812	25.146484	-27.650569
2.675781	2.699824	14.518327	0	208.007812	25.097656	-26.573695
2.695312	2.719531	15.030033	0	208.007812	25.097656	-24.035147
2.744141	2.768797	16.332224	0	208.007812	25.097656	-19.958328
2.77832	2.803284	17.260217	0	208.007812	25.097656	-22.610637
2.678223	2.702287	14.581973	0	208.007812	25.097656	-24.646801
2.685547	2.709677	14.773463	0	208.007812	25.097656	-26.012524
2.741699	2.76672	16.27673	0	208.007812	25.146484	-23.494365
2.77832	2.803284	17.260217	0	208.007812	25.097656	-20.777202
2.692871	2.717447	14.975652	0	208.007812	25.146484	-27.753999
2.653809	2.677654	13.949849	0	208.007812	25.097656	-30.589314
2.648926	2.6731	13.834096	0	208.007812	25.146484	-22.272005
2.675781	2.700201	14.52806	0	208.007812	25.146484	-21.916153
2.573242	2.596363	11.942572	0	208.007812	25.097656	-28.475051
2.702637	2.726921	15.223364	0	208.007812	25.097656	-27.558327
2.714844	2.73962	15.557311	0	208.007812	25.146484	-24.83503
2.722168	2.747011	15.752633	0	208.007812	25.146484	-31.058482
2.670898	2.694897	14.391317	0	208.007812	25.097656	-40.10659
2.719727	2.744164	15.67732	0	208.007812	25.097656	-29.581787
2.666016	2.690346	14.274329	0	208.007812	25.146484	-25.055285
2.687988	2.712141	14.837474	0	208.007812	25.097656	-24.398003
2.731934	2.756481	16.003877	0	208.007812	25.097656	-26.573162
