20/04/2022	11:25:35
sampling frequency [Hz]: 	4000	Samples: 	8000
dt (sec): 	0.00025	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	0.836811		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	19.834624
U dispersion: 	0.13834
Turbulence: 	0.697467

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.875977	2.902223	19.978106	0	208.984375	25.146484	-29.519413
2.875977	2.901818	19.966839	0	209.472656	25.097656	-21.127028
2.873535	2.899355	19.898358	0	209.472656	25.097656	-27.02755
2.871094	2.897296	19.841149	0	209.472656	25.146484	-37.825213
2.861328	2.887441	19.567689	0	208.984375	25.146484	-40.047378
2.868652	2.894832	19.772727	0	209.472656	25.146484	-55.040734
2.871094	2.896891	19.829914	0	208.984375	25.097656	-45.378174
2.871094	2.896891	19.829914	0	209.472656	25.097656	-46.966004
2.861328	2.887038	19.556517	0	209.472656	25.097656	-43.444097
2.866211	2.891965	19.69314	0	209.472656	25.097656	-46.567211
2.871094	2.897296	19.841149	0	209.472656	25.146484	-61.394225
2.871094	2.896891	19.829914	0	209.472656	25.097656	-60.176161
2.868652	2.894832	19.772727	0	209.472656	25.146484	-51.767455
2.871094	2.896891	19.829914	0	209.472656	25.097656	-47.263396
2.868652	2.894428	19.761508	0	208.984375	25.097656	-54.76314
2.871094	2.897296	19.841149	0	208.984375	25.146484	-67.460182
2.871094	2.897296	19.841149	0	208.984375	25.146484	-59.363516
2.871094	2.896891	19.829914	0	208.984375	25.097656	-49.266999
2.868652	2.894832	19.772727	0	209.472656	25.146484	-47.057878
2.871094	2.897296	19.841149	0	208.984375	25.146484	-52.264552
2.873535	2.899759	19.909609	0	208.984375	25.146484	-47.925108
2.875977	2.901818	19.966839	0	209.472656	25.097656	-47.608302
2.871094	2.896891	19.829914	0	208.984375	25.097656	-46.943215
2.868652	2.894832	19.772727	0	208.984375	25.146484	-47.12044
2.873535	2.899759	19.909609	0	208.984375	25.146484	-47.666286
2.871094	2.896891	19.829914	0	208.984375	25.097656	-50.102065
2.871094	2.896891	19.829914	0	208.984375	25.097656	-50.015376
2.868652	2.894428	19.761508	0	208.984375	25.097656	-50.609895
2.871094	2.896891	19.829914	0	208.984375	25.097656	-53.984016
2.866211	2.891965	19.69314	0	209.472656	25.097656	-49.713924
2.868652	2.894428	19.761508	0	209.472656	25.097656	-48.826594
2.873535	2.899355	19.898358	0	209.472656	25.097656	-65.853192
2.875977	2.901818	19.966839	0	208.984375	25.097656	-47.809464
2.868652	2.894832	19.772727	0	208.984375	25.146484	-53.137865
2.871094	2.896891	19.829914	0	208.984375	25.097656	-41.949937
2.868652	2.894428	19.761508	0	208.984375	25.097656	-39.775025
2.868652	2.894428	19.761508	0	208.984375	25.097656	-50.839477
2.871094	2.896891	19.829914	0	208.984375	25.097656	-53.014338
2.871094	2.896891	19.829914	0	208.984375	25.097656	-50.051936
2.871094	2.896891	19.829914	0	208.984375	25.097656	-52.431811
2.871094	2.896891	19.829914	0	208.984375	25.097656	-58.489905
2.873535	2.899355	19.898358	0	209.472656	25.097656	-49.020888
2.871094	2.896891	19.829914	0	209.472656	25.097656	-52.308072
2.871094	2.896891	19.829914	0	208.984375	25.097656	-59.700778
2.868652	2.894428	19.761508	0	208.984375	25.097656	-55.622746
2.871094	2.897296	19.841149	0	208.984375	25.146484	-65.115636
2.868652	2.894428	19.761508	0	209.472656	25.097656	-58.4972
