20/04/2022	11:26:22
sampling frequency [Hz]: 	4000	Samples: 	8000
dt (sec): 	0.00025	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	17.304378		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	19.927099
U dispersion: 	0.090577
Turbulence: 	0.454544

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.875977	2.901818	19.966839	0	207.519531	25.097656	-38.638182
2.878418	2.904281	20.035357	0	207.519531	25.097656	-38.270102
2.880859	2.906745	20.103913	0	207.519531	25.097656	-42.405196
2.878418	2.904281	20.035357	0	207.519531	25.097656	-36.492809
2.878418	2.904281	20.035357	0	208.007812	25.097656	-39.878492
2.875977	2.902223	19.978106	0	207.519531	25.146484	-56.843466
2.880859	2.90715	20.11521	0	207.519531	25.146484	-40.774709
2.878418	2.904281	20.035357	0	207.519531	25.097656	-43.681179
2.878418	2.904687	20.046639	0	207.519531	25.146484	-44.66369
2.878418	2.904687	20.046639	0	207.519531	25.146484	-42.969715
2.878418	2.904281	20.035357	0	208.007812	25.097656	-48.406823
2.878418	2.904687	20.046639	0	207.519531	25.146484	-44.833234
2.878418	2.904281	20.035357	0	207.519531	25.097656	-46.481049
2.880859	2.90715	20.11521	0	207.519531	25.146484	-48.646558
2.875977	2.901818	19.966839	0	207.519531	25.097656	-42.103917
2.878418	2.904281	20.035357	0	207.519531	25.097656	-45.39753
2.873535	2.899355	19.898358	0	207.519531	25.097656	-62.83897
2.875977	2.901818	19.966839	0	207.519531	25.097656	-52.092109
2.878418	2.904281	20.035357	0	207.519531	25.097656	-50.322799
2.878418	2.904281	20.035357	0	208.007812	25.097656	-46.25038
2.878418	2.904687	20.046639	0	207.519531	25.146484	-51.323014
2.878418	2.904281	20.035357	0	207.519531	25.097656	-52.233046
2.883301	2.909208	20.172505	0	207.519531	25.097656	-43.298798
2.878418	2.904281	20.035357	0	208.007812	25.097656	-44.417127
2.878418	2.904687	20.046639	0	207.519531	25.146484	-51.469561
2.875977	2.902223	19.978106	0	207.519531	25.146484	-46.474087
2.875977	2.901818	19.966839	0	207.519531	25.097656	-45.366842
2.875977	2.902223	19.978106	0	207.519531	25.146484	-47.393139
2.871094	2.897296	19.841149	0	207.519531	25.146484	-47.021184
2.875977	2.902223	19.978106	0	207.519531	25.146484	-44.527883
2.873535	2.899355	19.898358	0	207.519531	25.097656	-42.058415
2.875977	2.902223	19.978106	0	208.007812	25.146484	-48.271252
2.875977	2.901818	19.966839	0	207.519531	25.097656	-52.257263
2.878418	2.904281	20.035357	0	208.007812	25.097656	-50.912836
2.878418	2.904281	20.035357	0	207.519531	25.097656	-37.176955
2.878418	2.904281	20.035357	0	207.519531	25.097656	-35.915213
2.875977	2.902223	19.978106	0	207.519531	25.146484	-44.693019
2.873535	2.899355	19.898358	0	207.519531	25.097656	-55.43102
2.875977	2.901818	19.966839	0	207.519531	25.097656	-45.94201
2.873535	2.899759	19.909609	0	208.007812	25.146484	-46.249682
2.875977	2.902223	19.978106	0	207.519531	25.146484	-45.795394
2.873535	2.899355	19.898358	0	207.519531	25.097656	-43.138849
2.875977	2.901818	19.966839	0	207.519531	25.097656	-52.916142
2.871094	2.896891	19.829914	0	207.519531	25.097656	-58.784993
2.875977	2.902223	19.978106	0	208.007812	25.146484	-49.045391
2.875977	2.901818	19.966839	0	207.519531	25.097656	-44.105878
2.878418	2.904281	20.035357	0	208.007812	25.097656	-48.845353
2.878418	2.904281	20.035357	0	208.007812	25.097656	-52.225121
2.880859	2.906745	20.103913	0	207.519531	25.097656	-51.596725
2.878418	2.904281	20.035357	0	208.007812	25.097656	-46.690732
2.875977	2.901818	19.966839	0	207.519531	25.097656	-41.058122
2.875977	2.901818	19.966839	0	207.519531	25.097656	-42.301281
2.873535	2.899355	19.898358	0	208.007812	25.097656	-44.179995
2.875977	2.901818	19.966839	0	207.519531	25.097656	-40.949098
2.875977	2.901818	19.966839	0	207.519531	25.097656	-44.465628
2.878418	2.904281	20.035357	0	207.519531	25.097656	-49.867654
2.873535	2.899355	19.898358	0	207.519531	25.097656	-48.709064
2.878418	2.904281	20.035357	0	207.519531	25.097656	-47.300898
2.878418	2.904687	20.046639	0	208.007812	25.146484	-44.625282
2.880859	2.906745	20.103913	0	207.519531	25.097656	-41.904692
2.880859	2.906745	20.103913	0	207.519531	25.097656	-41.000165
2.878418	2.904281	20.035357	0	208.007812	25.097656	-40.090731
2.880859	2.906745	20.103913	0	207.519531	25.097656	-43.349155
2.875977	2.901818	19.966839	0	207.519531	25.097656	-54.122935
2.875977	2.901818	19.966839	0	207.519531	25.097656	-50.77176
2.875977	2.901818	19.966839	0	207.519531	25.097656	-42.763474
2.873535	2.899355	19.898358	0	207.519531	25.097656	-44.547506
2.878418	2.904281	20.035357	0	207.519531	25.097656	-52.266645
2.878418	2.904281	20.035357	0	207.519531	25.097656	-51.107245
2.880859	2.906745	20.103913	0	207.519531	25.097656	-46.572205
2.878418	2.904281	20.035357	0	207.519531	25.097656	-47.328
