20/04/2022	11:28:01
sampling frequency [Hz]: 	4000	Samples: 	8000
dt (sec): 	0.00025	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	17.365137		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	20.246029
U dispersion: 	0.067345
Turbulence: 	0.332632

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.883301	2.909208	20.172505	0	211.914062	25.097656	-47.755275
2.883301	2.909208	20.172505	0	211.914062	25.097656	-38.365906
2.880859	2.906745	20.103913	0	211.914062	25.097656	-37.062128
2.883301	2.909614	20.183818	0	211.914062	25.146484	-57.619683
2.880859	2.906745	20.103913	0	211.914062	25.097656	-48.894216
2.880859	2.90715	20.11521	0	211.914062	25.146484	-46.791062
2.878418	2.904281	20.035357	0	211.914062	25.097656	-56.202443
2.880859	2.90715	20.11521	0	211.914062	25.146484	-52.702961
2.880859	2.906745	20.103913	0	211.914062	25.097656	-52.699687
2.880859	2.906745	20.103913	0	211.914062	25.097656	-47.837701
2.880859	2.906745	20.103913	0	211.914062	25.097656	-50.717101
2.883301	2.909208	20.172505	0	211.914062	25.097656	-56.773695
2.883301	2.909208	20.172505	0	211.914062	25.097656	-64.522714
2.880859	2.90715	20.11521	0	211.914062	25.146484	-50.651782
2.883301	2.909208	20.172505	0	211.914062	25.097656	-55.06991
2.878418	2.904281	20.035357	0	211.914062	25.097656	-54.030598
2.880859	2.906745	20.103913	0	211.914062	25.097656	-50.306215
2.878418	2.904281	20.035357	0	211.914062	25.097656	-48.014026
2.880859	2.906745	20.103913	0	211.914062	25.097656	-58.072648
2.878418	2.904281	20.035357	0	211.914062	25.097656	-53.540066
2.878418	2.904281	20.035357	0	211.914062	25.097656	-59.009606
2.878418	2.904281	20.035357	0	211.914062	25.097656	-57.502601
2.878418	2.904281	20.035357	0	211.914062	25.097656	-48.563612
2.878418	2.904281	20.035357	0	211.914062	25.097656	-46.163008
2.878418	2.904281	20.035357	0	211.914062	25.097656	-50.050748
2.880859	2.906745	20.103913	0	211.914062	25.097656	-52.371858
2.878418	2.904281	20.035357	0	211.914062	25.097656	-49.393073
2.880859	2.90715	20.11521	0	211.914062	25.146484	-50.706244
2.875977	2.901818	19.966839	0	211.914062	25.097656	-62.792913
2.880859	2.906745	20.103913	0	211.914062	25.097656	-55.251146
2.878418	2.904281	20.035357	0	211.914062	25.097656	-56.400532
2.880859	2.906745	20.103913	0	211.914062	25.097656	-56.199774
2.880859	2.906745	20.103913	0	211.914062	25.097656	-49.690684
2.883301	2.909208	20.172505	0	211.914062	25.097656	-50.136165
2.883301	2.909208	20.172505	0	211.914062	25.097656	-38.666049
2.883301	2.909208	20.172505	0	211.914062	25.097656	-35.977939
2.885742	2.911671	20.241133	0	211.914062	25.097656	-45.193345
2.880859	2.906745	20.103913	0	211.914062	25.097656	-62.101686
2.885742	2.911671	20.241133	0	211.914062	25.097656	-51.206759
2.880859	2.906745	20.103913	0	211.914062	25.097656	-50.180677
2.883301	2.909208	20.172505	0	211.914062	25.097656	-58.475138
2.878418	2.904281	20.035357	0	211.914062	25.097656	-55.642456
2.880859	2.906745	20.103913	0	211.914062	25.097656	-57.968111
2.880859	2.906745	20.103913	0	211.914062	25.097656	-59.665619
2.880859	2.90715	20.11521	0	211.914062	25.146484	-55.652704
2.880859	2.906745	20.103913	0	211.914062	25.097656	-54.653986
2.878418	2.904687	20.046639	0	211.914062	25.146484	-74.472598
2.880859	2.906745	20.103913	0	211.914062	25.097656	-56.811733
2.880859	2.906745	20.103913	0	211.914062	25.097656	-57.481477
2.883301	2.909208	20.172505	0	211.914062	25.097656	-65.509686
2.880859	2.90715	20.11521	0	211.914062	25.146484	-52.57728
2.880859	2.906745	20.103913	0	211.914062	25.097656	-53.269759
2.880859	2.906745	20.103913	0	211.914062	25.097656	-58.970975
2.885742	2.911671	20.241133	0	211.914062	25.097656	-48.575878
2.883301	2.909614	20.183818	0	211.914062	25.146484	-45.178095
2.880859	2.90715	20.11521	0	211.914062	25.146484	-47.831807
2.880859	2.90715	20.11521	0	211.914062	25.146484	-53.183867
2.878418	2.904281	20.035357	0	211.914062	25.097656	-54.266345
2.883301	2.909614	20.183818	0	211.914062	25.146484	-56.798113
2.878418	2.904281	20.035357	0	211.914062	25.097656	-54.801115
2.883301	2.909208	20.172505	0	211.914062	25.097656	-64.714294
2.880859	2.90715	20.11521	0	211.914062	25.146484	-57.134361
