20/04/2022	11:27:14
sampling frequency [Hz]: 	4000	Samples: 	8000
dt (sec): 	0.00025	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	1.007062		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	19.8185
U dispersion: 	0.113567
Turbulence: 	0.573036

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.868652	2.894832	19.772727	0	203.125	25.146484	-39.189124
2.866211	2.892368	19.704343	0	202.636719	25.146484	-34.173553
2.868652	2.894428	19.761508	0	202.636719	25.097656	-29.249403
2.868652	2.894832	19.772727	0	203.125	25.146484	-35.088912
2.868652	2.894428	19.761508	0	203.125	25.097656	-41.214018
2.86377	2.889501	19.624809	0	203.125	25.097656	-42.121769
2.866211	2.892368	19.704343	0	203.125	25.146484	-42.621001
2.866211	2.892368	19.704343	0	203.125	25.146484	-48.105827
2.871094	2.897296	19.841149	0	203.125	25.146484	-50.395426
2.868652	2.894832	19.772727	0	203.125	25.146484	-52.928133
2.86377	2.889501	19.624809	0	203.125	25.097656	-46.365538
2.868652	2.894832	19.772727	0	203.125	25.146484	-44.415002
2.868652	2.894832	19.772727	0	203.125	25.146484	-50.267015
2.871094	2.897296	19.841149	0	202.636719	25.146484	-44.993818
2.868652	2.894428	19.761508	0	203.125	25.097656	-47.419387
2.868652	2.894428	19.761508	0	203.125	25.097656	-52.293987
2.873535	2.899759	19.909609	0	203.125	25.146484	-46.58265
2.868652	2.894428	19.761508	0	203.125	25.097656	-43.09102
2.868652	2.894428	19.761508	0	203.125	25.097656	-44.540748
2.866211	2.892368	19.704343	0	203.125	25.146484	-46.134849
2.866211	2.892368	19.704343	0	203.125	25.146484	-42.557837
2.868652	2.894832	19.772727	0	203.125	25.146484	-45.018182
2.86377	2.889905	19.635997	0	203.125	25.146484	-54.609147
2.866211	2.891965	19.69314	0	203.125	25.097656	-45.799053
2.866211	2.891965	19.69314	0	203.125	25.097656	-45.511072
2.866211	2.892368	19.704343	0	203.125	25.146484	-45.475351
2.871094	2.897296	19.841149	0	203.125	25.146484	-43.247879
2.868652	2.894832	19.772727	0	203.125	25.146484	-45.433232
2.868652	2.894832	19.772727	0	203.125	25.146484	-47.719752
2.866211	2.891965	19.69314	0	203.125	25.097656	-73.222387
2.866211	2.892368	19.704343	0	203.125	25.146484	-63.056318
2.868652	2.894428	19.761508	0	203.125	25.097656	-46.512697
2.866211	2.891965	19.69314	0	203.125	25.097656	-43.08178
2.866211	2.891965	19.69314	0	203.125	25.097656	-41.069298
2.866211	2.891965	19.69314	0	203.125	25.097656	-36.251466
2.866211	2.892368	19.704343	0	203.125	25.146484	-35.887706
2.873535	2.899355	19.898358	0	203.125	25.097656	-41.569726
2.875977	2.901818	19.966839	0	203.125	25.097656	-41.618003
2.871094	2.896891	19.829914	0	203.125	25.097656	-42.59302
2.866211	2.891965	19.69314	0	203.125	25.097656	-46.684969
2.86377	2.889905	19.635997	0	203.125	25.146484	-50.867781
2.871094	2.896891	19.829914	0	203.125	25.097656	-48.681613
2.868652	2.894428	19.761508	0	203.125	25.097656	-42.706669
2.86377	2.889501	19.624809	0	203.125	25.097656	-48.0652
2.866211	2.891965	19.69314	0	203.125	25.097656	-52.065906
2.868652	2.894428	19.761508	0	203.125	25.097656	-54.737987
2.868652	2.894428	19.761508	0	203.125	25.097656	-51.230328
2.866211	2.891965	19.69314	0	203.125	25.097656	-45.380278
2.868652	2.894428	19.761508	0	203.125	25.097656	-46.428815
2.868652	2.894428	19.761508	0	203.125	25.097656	-76.037944
2.868652	2.894428	19.761508	0	203.125	25.097656	-60.629775
2.866211	2.891965	19.69314	0	203.125	25.097656	-51.225414
2.866211	2.891965	19.69314	0	203.125	25.097656	-50.437588
2.86377	2.889501	19.624809	0	203.125	25.097656	-47.986526
2.866211	2.892368	19.704343	0	203.125	25.146484	-42.243505
2.868652	2.894428	19.761508	0	203.125	25.097656	-41.100946
2.871094	2.896891	19.829914	0	203.125	25.097656	-41.714056
2.873535	2.899355	19.898358	0	203.125	25.097656	-51.308512
2.866211	2.891965	19.69314	0	203.125	25.097656	-43.259283
2.868652	2.894428	19.761508	0	203.125	25.097656	-68.598727
2.868652	2.894428	19.761508	0	203.125	25.097656	-40.942698
2.873535	2.899355	19.898358	0	203.125	25.097656	-40.865879
2.871094	2.896891	19.829914	0	203.125	25.097656	-48.842575
2.86377	2.889501	19.624809	0	203.125	25.097656	-43.412659
2.866211	2.891965	19.69314	0	203.125	25.097656	-40.959345
2.866211	2.891965	19.69314	0	203.125	25.097656	-48.025246
2.868652	2.894428	19.761508	0	203.125	25.097656	-44.053019
2.868652	2.894428	19.761508	0	203.125	25.097656	-49.609399
2.86377	2.889501	19.624809	0	203.125	25.097656	-47.267793
2.868652	2.894428	19.761508	0	203.125	25.097656	-41.689781
2.868652	2.894428	19.761508	0	203.125	25.097656	-40.03768
2.868652	2.894428	19.761508	0	203.125	25.097656	-40.593941
2.868652	2.894428	19.761508	0	203.125	25.097656	-41.920959
2.866211	2.891965	19.69314	0	203.125	25.097656	-45.62906
2.868652	2.894428	19.761508	0	203.125	25.097656	-66.380765
2.866211	2.891965	19.69314	0	203.125	25.097656	-46.340396
2.868652	2.894832	19.772727	0	203.125	25.146484	-43.987441
2.868652	2.894832	19.772727	0	203.125	25.146484	-40.370965
2.866211	2.891965	19.69314	0	203.125	25.097656	-45.813892
2.868652	2.894428	19.761508	0	203.125	25.097656	-40.814164
2.866211	2.891965	19.69314	0	203.125	25.097656	-45.553806
2.871094	2.897296	19.841149	0	203.125	25.146484	-55.101955
2.868652	2.894832	19.772727	0	203.125	25.146484	-47.7173
2.86377	2.889905	19.635997	0	203.125	25.146484	-46.589604
2.866211	2.892368	19.704343	0	203.125	25.146484	-48.726749
2.86377	2.889905	19.635997	0	203.125	25.146484	-45.498441
2.86377	2.889501	19.624809	0	203.125	25.097656	-50.472176
2.86377	2.889501	19.624809	0	203.125	25.097656	-61.080968
2.86377	2.889905	19.635997	0	203.125	25.146484	-57.71833
2.86377	2.889501	19.624809	0	203.125	25.097656	-50.155271
2.866211	2.892368	19.704343	0	203.125	25.146484	-46.847095
2.868652	2.894832	19.772727	0	203.125	25.146484	-40.662114
2.868652	2.894832	19.772727	0	203.125	25.146484	-45.06743
2.86377	2.889501	19.624809	0	203.125	25.097656	-43.931528
2.866211	2.891965	19.69314	0	203.125	25.097656	-41.871328
2.86377	2.889905	19.635997	0	203.125	25.146484	-47.275967
2.866211	2.891965	19.69314	0	203.125	25.097656	-55.572245
2.866211	2.891965	19.69314	0	203.125	25.097656	-46.861397
2.86377	2.889501	19.624809	0	203.125	25.097656	-51.543796
2.868652	2.894428	19.761508	0	203.125	25.097656	-53.909642
2.868652	2.894428	19.761508	0	203.125	25.097656	-45.141536
2.868652	2.894832	19.772727	0	203.125	25.146484	-53.181995
2.868652	2.894428	19.761508	0	203.125	25.097656	-50.324895
2.868652	2.894428	19.761508	0	203.125	25.097656	-55.632243
2.871094	2.897296	19.841149	0	203.125	25.146484	-44.70694
2.868652	2.894428	19.761508	0	203.125	25.097656	-48.76883
2.871094	2.896891	19.829914	0	203.613281	25.097656	-51.846645
2.868652	2.894428	19.761508	0	203.125	25.097656	-58.238105
2.871094	2.896891	19.829914	0	203.125	25.097656	-61.832095
2.871094	2.896891	19.829914	0	203.125	25.097656	-52.075276
2.868652	2.894428	19.761508	0	203.125	25.097656	-49.14536
2.873535	2.899759	19.909609	0	203.125	25.146484	-50.268708
2.868652	2.894832	19.772727	0	203.125	25.146484	-54.648504
2.871094	2.897296	19.841149	0	203.125	25.146484	-57.168697
2.868652	2.894428	19.761508	0	203.125	25.097656	-47.623006
2.866211	2.891965	19.69314	0	203.125	25.097656	-48.147583
2.868652	2.894428	19.761508	0	203.125	25.097656	-53.780361
2.871094	2.896891	19.829914	0	203.125	25.097656	-44.699456
2.875977	2.901818	19.966839	0	203.125	25.097656	-42.103212
2.875977	2.901818	19.966839	0	203.125	25.097656	-40.844107
2.875977	2.901818	19.966839	0	203.125	25.097656	-43.090147
2.868652	2.894428	19.761508	0	203.125	25.097656	-49.530776
2.868652	2.894428	19.761508	0	203.125	25.097656	-44.176156
2.868652	2.894428	19.761508	0	203.125	25.097656	-43.851427
2.866211	2.891965	19.69314	0	203.125	25.097656	-59.426108
2.868652	2.894428	19.761508	0	203.125	25.097656	-45.167348
2.868652	2.894428	19.761508	0	203.125	25.097656	-57.735697
2.873535	2.899355	19.898358	0	203.125	25.097656	-46.822051
2.873535	2.899759	19.909609	0	203.125	25.146484	-47.047227
2.873535	2.899355	19.898358	0	203.125	25.097656	-51.441342
2.868652	2.894428	19.761508	0	203.125	25.097656	-66.687439
2.871094	2.897296	19.841149	0	203.125	25.146484	-47.470918
2.871094	2.896891	19.829914	0	203.125	25.097656	-48.148189
2.871094	2.896891	19.829914	0	203.125	25.097656	-50.35407
2.868652	2.894428	19.761508	0	203.125	25.097656	-47.235764
2.86377	2.889501	19.624809	0	203.125	25.097656	-45.844494
2.866211	2.891965	19.69314	0	203.125	25.097656	-46.382425
2.86377	2.889501	19.624809	0	203.125	25.097656	-47.176543
2.868652	2.894428	19.761508	0	203.125	25.097656	-47.960517
2.868652	2.894428	19.761508	0	203.125	25.097656	-55.035036
2.871094	2.896891	19.829914	0	203.125	25.097656	-55.589221
2.873535	2.899355	19.898358	0	203.125	25.097656	-46.951716
2.871094	2.896891	19.829914	0	203.125	25.097656	-49.869656
2.873535	2.899355	19.898358	0	203.613281	25.097656	-49.471112
2.871094	2.896891	19.829914	0	203.613281	25.097656	-50.01649
2.873535	2.899355	19.898358	0	203.125	25.097656	-51.492693
2.875977	2.901818	19.966839	0	203.125	25.097656	-51.095929
2.873535	2.899759	19.909609	0	203.613281	25.146484	-60.297845
2.873535	2.899759	19.909609	0	203.125	25.146484	-48.325285
2.868652	2.894428	19.761508	0	203.125	25.097656	-41.278243
2.871094	2.897296	19.841149	0	203.125	25.146484	-42.902466
2.868652	2.894428	19.761508	0	203.125	25.097656	-45.25573
2.866211	2.891965	19.69314	0	203.613281	25.097656	-44.198352
2.866211	2.892368	19.704343	0	203.125	25.146484	-44.634059
2.86377	2.889501	19.624809	0	203.613281	25.097656	-43.338063
2.866211	2.891965	19.69314	0	203.125	25.097656	-48.173533
2.868652	2.894428	19.761508	0	203.125	25.097656	-61.430952
2.868652	2.894428	19.761508	0	203.613281	25.097656	-45.199461
2.868652	2.894832	19.772727	0	203.125	25.146484	-44.818713
2.866211	2.892368	19.704343	0	203.613281	25.146484	-48.570876
2.871094	2.897296	19.841149	0	203.613281	25.146484	-45.844615
2.868652	2.894832	19.772727	0	203.125	25.146484	-50.48977
2.868652	2.894832	19.772727	0	203.125	25.146484	-46.450425
2.868652	2.894832	19.772727	0	203.125	25.146484	-47.851711
2.871094	2.897296	19.841149	0	203.125	25.146484	-48.173278
2.871094	2.896891	19.829914	0	203.613281	25.097656	-43.913094
2.868652	2.894832	19.772727	0	203.613281	25.146484	-47.306048
2.868652	2.894428	19.761508	0	203.125	25.097656	-49.522085
2.871094	2.896891	19.829914	0	203.125	25.097656	-45.984452
2.868652	2.894428	19.761508	0	203.125	25.097656	-47.665007
2.871094	2.897296	19.841149	0	203.125	25.146484	-46.394542
2.871094	2.896891	19.829914	0	203.613281	25.097656	-52.71914
2.868652	2.894832	19.772727	0	203.613281	25.146484	-52.28824
2.866211	2.892368	19.704343	0	203.613281	25.146484	-50.062832
2.866211	2.892368	19.704343	0	203.125	25.146484	-50.8675
