20/04/2022	11:10:21
sampling frequency [Hz]: 	1000	Samples: 	2000
dt (sec): 	0.001	df (Hz): 	0.5
Filtre: 	Savitzky-Golacy	Ordre Polynomial: 	3
Fréquence [Fo]: 	127.681327		
Polynome: 	y = + 14.34x^5 - 189.47x^4 + 989.31x^3 - 2541.56x^2 + 3219.98x -1612.97
U moyen: 	18.809096
U dispersion: 	0.664533
Turbulence: 	3.533041

E [volt]	Ecorr [volt]	U [m.s-1]	U.filtré [m.s-1]	Anémomètre [m.s-1]	Temperature [°C]	Spectrum [dB]

2.822266	2.847624	18.469328	0	209.472656	25.097656	-37.653311
2.875977	2.901818	19.966839	0	209.472656	25.097656	-20.648947
2.858887	2.884575	19.488264	0	209.472656	25.097656	-22.893876
2.836914	2.862404	18.875773	0	209.472656	25.097656	-24.641751
2.84668	2.872258	19.147587	0	209.472656	25.097656	-28.337582
2.858887	2.884575	19.488264	0	209.472656	25.097656	-32.407944
2.810059	2.835308	18.131858	0	209.472656	25.097656	-35.260768
2.883301	2.909208	20.172505	0	209.472656	25.097656	-31.489874
2.82959	2.855014	18.672355	0	209.472656	25.097656	-33.152774
2.854004	2.879648	19.351874	0	209.472656	25.097656	-32.205768
2.810059	2.835308	18.131858	0	209.472656	25.097656	-35.196551
2.805176	2.830381	17.997201	0	209.472656	25.097656	-38.47638
2.871094	2.896891	19.829914	0	209.472656	25.097656	-29.08772
2.819824	2.845161	18.401742	0	209.472656	25.097656	-27.795065
2.819824	2.845161	18.401742	0	209.472656	25.097656	-29.491115
2.836914	2.862404	18.875773	0	209.472656	25.097656	-29.832178
2.854004	2.879648	19.351874	0	209.472656	25.097656	-33.894472
2.824707	2.850088	18.536959	0	209.472656	25.097656	-30.969857
2.866211	2.891965	19.69314	0	209.472656	25.097656	-31.304797
2.861328	2.887038	19.556517	0	209.472656	25.097656	-56.362774
2.814941	2.840234	18.266707	0	209.472656	25.097656	-36.468634
2.800293	2.825454	17.862739	0	209.472656	25.097656	-31.74257
2.832031	2.857478	18.740118	0	209.472656	25.097656	-28.252732
2.827148	2.852551	18.604635	0	209.472656	25.097656	-31.759368
2.858887	2.884575	19.488264	0	209.472656	25.097656	-39.098169
2.810059	2.835308	18.131858	0	209.472656	25.097656	-37.692663
2.851562	2.877184	19.283738	0	209.472656	25.097656	-36.315618
2.866211	2.891965	19.69314	0	209.472656	25.097656	-30.915414
2.827148	2.852551	18.604635	0	209.472656	25.097656	-30.543522
2.8125	2.837771	18.199259	0	209.472656	25.097656	-36.109154
2.832031	2.857478	18.740118	0	209.472656	25.097656	-40.577429
2.849121	2.874721	19.215642	0	209.472656	25.097656	-41.741982
2.822266	2.847624	18.469328	0	209.472656	25.097656	-33.400853
2.849121	2.874721	19.215642	0	209.472656	25.097656	-34.411377
2.836914	2.862404	18.875773	0	209.472656	25.097656	-31.110958
2.839355	2.864868	18.943664	0	209.472656	25.097656	-28.403017
2.800293	2.825454	17.862739	0	209.472656	25.097656	-26.976856
2.84668	2.872258	19.147587	0	209.472656	25.097656	-25.570914
2.871094	2.896891	19.829914	0	209.472656	25.097656	-28.087416
2.832031	2.857478	18.740118	0	209.472656	25.097656	-31.266151
2.8125	2.837771	18.199259	0	209.472656	25.097656	-33.697765
2.851562	2.877184	19.283738	0	209.472656	25.097656	-36.999686
2.839355	2.864868	18.943664	0	209.472656	25.097656	-30.446336
2.819824	2.845161	18.401742	0	209.472656	25.097656	-26.627022
2.814941	2.840234	18.266707	0	209.472656	25.097656	-34.443216
